id,decision,reason
W7160595305,INCLUDE,
W7172476237,INCLUDE,
W7115071672,EXCLUDE,E4
W7172482555,INCLUDE,
W7115080137,EXCLUDE,E6 (duplicate of W7115071672)
W7135242384,EXCLUDE,E2
W7135209051,EXCLUDE,E6 (duplicate of W7135242384)
W4399266415,INCLUDE,
W7127971117,INCLUDE,
W4408540636,INCLUDE,
W7134983887,INCLUDE,
W7203892061,INCLUDE,
W7127251542,INCLUDE,
W7164938444,INCLUDE,
W7205513287,INCLUDE,
W4413129678,INCLUDE,
W4411460350,INCLUDE,
W7125713301,INCLUDE,
W7164326154,EXCLUDE,E6 (duplicate of W7125713301)
W4404952844,INCLUDE,
W7203820705,EXCLUDE,E2
W7154911988,EXCLUDE,E2
W7154904736,EXCLUDE,E6 (duplicate of W7154911988)
W4403741725,EXCLUDE,E2
W7208726607,INCLUDE,
W7169871729,INCLUDE,
W7169835524,EXCLUDE,E6 (duplicate of W7169871729)
W7171664861,INCLUDE,
W4415027142,INCLUDE,
W7156261745,INCLUDE,
W7171715683,INCLUDE,
W7171709341,EXCLUDE,E6 (duplicate of W7171715683)
W7109195957,INCLUDE,
W7198351511,INCLUDE,
W4409790488,INCLUDE,
W4414794612,INCLUDE,
W4417036943,INCLUDE,
W4415746186,INCLUDE,
W4410085965,INCLUDE,
W4409796413,INCLUDE,
W4408440232,EXCLUDE,E1
W4404348691,INCLUDE,
W7166903890,INCLUDE,
W7162090177,INCLUDE,
W7198825390,INCLUDE,
W7155091731,INCLUDE,
W7167467797,INCLUDE,
W7151407734,INCLUDE,
W4406957738,EXCLUDE,E2
W7168546124,EXCLUDE,E2
W7168880969,EXCLUDE,E6 (duplicate of W7168546124)
W7164196601,INCLUDE,
W4410697666,EXCLUDE,E2
W7164121664,EXCLUDE,E6 (duplicate of W7164196601)
W7165813420,INCLUDE,
W4401777545,INCLUDE,
W7138933292,EXCLUDE,E2
W7164898989,EXCLUDE,E2
W7171677872,EXCLUDE,E2
W7169593714,INCLUDE,
W7169624632,EXCLUDE,E6 (duplicate of W7169593714)
W7172027425,EXCLUDE,E6 (duplicate of W7169593714)
W7162073795,INCLUDE,
W7162186123,EXCLUDE,E6 (duplicate of W7162073795)
W7168066957,INCLUDE,
W7208483042,EXCLUDE,E2
W7169759103,INCLUDE,
W4415524840,INCLUDE,
W7169814299,EXCLUDE,E6 (duplicate of W7169759103)
W7128957646,EXCLUDE,E5
W7143311081,EXCLUDE,E2
W7162781530,EXCLUDE,E4
W7149928796,EXCLUDE,E2
W4405836486,INCLUDE,
W4414995497,INCLUDE,
W4417275491,EXCLUDE,E6 (duplicate of W4414995497)
